id,url,titulo,accion,archivo,intencion,estado
A01,https://serviciosonlineweb.com/blog/cuanto-cuesta-pagina-web-espana,Cuánto cuesta una página web: compara creación y mantenimiento,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/01-precio-web.md,Comparar coste de web con alcance y cuotas,Borrador local
A02,https://serviciosonlineweb.com/blog/cuanto-cuesta-tienda-online,Cuánto cuesta una tienda online y qué debes incluir al comparar,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/02-precio-tienda.md,"Comparar tienda, catálogo y costes externos",Borrador local
,https://serviciosonlineweb.com/blog/cuanto-tarda-seo-resultados,¿Cuánto tarda el SEO en dar resultados? Plazos honestos,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/diseno-web-clinicas-despachos-consultas,"Diseño web para clínicas, despachos y consultas: confianza desde el primer clic",Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/dominio-hosting-explicado,Dominio y hosting explicados para no técnicos,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/dropshipping-vs-stock-propio,Dropshipping vs stock propio: qué modelo elegir para tu tienda online,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/elegir-empresa-diseno-web,Cómo elegir la empresa de diseño web perfecta (señales que la mayoría ignora),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/envios-logistica-ecommerce-espana,Envíos y logística para e-commerce en España: guía práctica 2026,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/errores-al-encargar-primera-web,7 errores al encargar tu primera web (y cómo evitarlos),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/errores-seo-comunes-pymes,Los 12 errores de SEO más comunes en webs de pymes (y cómo arreglarlos),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/fichas-producto-que-venden,Fichas de producto que venden: la guía para convertir visitas en pedidos,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/google-business-profile-guia,Google Business Profile: la guía definitiva para empresas españolas,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/ia-restaurantes-bares-playbook,Inteligencia Artificial para restaurantes y bares: el playbook completo,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/integrar-agente-ia-crm,Integrar un agente de IA con tu CRM: el detalle que lo cambia todo,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/landing-page-vs-web-corporativa,Landing page o web corporativa: cuál necesita tu negocio,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/llamadas-perdidas-clientes,Llamadas perdidas: el agujero invisible por el que se escapan tus clientes,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/mantenimiento-web-inversion,"Mantenimiento web: por qué pagar cada mes no es un gasto, es una inversión",Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A03,https://serviciosonlineweb.com/blog/mantenimiento-web-que-incluye,Mantenimiento web: qué tareas conviene dejar por escrito,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/03-mantenimiento.md,"Delimitar soporte, mantenimiento y ampliaciones",Borrador local
,https://serviciosonlineweb.com/blog/modelo-suscripcion-ecommerce,Modelo de suscripción en e-commerce: cómo vender por cuotas y fidelizar,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/n8n-vs-zapier-vs-make,n8n vs Zapier vs Make: cuál elegir para automatizar tu pyme,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/pagina-web-clinicas-fisioterapia,Página web para clínicas y fisioterapeutas: guía completa,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/pagina-web-restaurantes,Página web para restaurantes: qué debe tener para llenar mesas,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/pasarelas-pago-espana-comparativa-2026,Pasarelas de pago en España 2026: Stripe vs Redsys vs Bizum vs PayPal,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A05,https://serviciosonlineweb.com/blog/por-que-no-aparezco-en-google-diagnostico,Por qué no apareces en Google: comprueba la URL antes de cambiar la web,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/05-diagnostico-google.md,Diagnosticar URL y visibilidad sin falsa prueba site:,Borrador local
,https://serviciosonlineweb.com/blog/reducir-carritos-abandonados,Cómo reducir carritos abandonados: 9 tácticas que funcionan,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/roi-agente-ia-calcular,ROI de un agente de IA: cómo calcularlo sin engañarte,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/seo-local-badajoz,SEO local en Badajoz: cómo aparecer primero en Google,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/seo-local-negocios-espana,SEO local para negocios: domina las búsquedas de tu ciudad,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/seo-para-autonomos-pymes-guia,SEO para autónomos y pymes: guía práctica para empezar de cero,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/seo-tienda-online-ecommerce-paso-a-paso,SEO para tiendas online: cómo posicionar un e-commerce paso a paso,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A06,https://serviciosonlineweb.com/blog/seo-tiendas-online-productos,SEO para tiendas online: fichas útiles y un catálogo que se pueda recorrer,Conservar URL; sustituir cuerpo tras revisión,actualizaciones/06-seo-tienda.md,Preparar fichas y navegación de catálogo,Borrador local
,https://serviciosonlineweb.com/blog/seo-vs-sem-donde-invertir,SEO o publicidad de pago (SEM): dónde invertir primero,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/shopify-vs-tienda-a-medida,Shopify vs tienda online a medida: cuál conviene a tu negocio,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/stripe-empresas-guia-pagos-online,Stripe para empresas: guía completa de pagos online,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/tienda-online-alimentacion-gourmet,Tienda online de alimentación y productos gourmet,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/tienda-online-moda-ropa,Tienda online para tiendas de ropa y moda: claves que venden,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/tienda-online-vs-instagram-whatsapp,Tienda online vs Instagram y WhatsApp: cuándo dar el salto,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/tienda-online-vs-marketplace,Tienda online vs marketplace: qué elegir para tu negocio en 2026,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/trabajar-agencia-web-a-distancia,Trabajar con una agencia web a distancia: cómo funciona de verdad,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/vender-con-bizum-tienda-online,Vender con Bizum en tu tienda online: guía completa 2026,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/vender-en-el-extranjero-desde-espana,Vender en el extranjero desde España: guía cross-border para tu tienda online,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/verifactu-obligatorio-2027-guia,"Verifactu: qué es, cuándo es obligatorio y cómo lo dejamos resuelto en tu negocio",Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-abogados-asesorias,Página web para abogados y asesorías: captar clientes con autoridad,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-academias-formacion,Página web para academias y formación: matricula más alumnos,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-actual-perdiendo-clientes,Por qué tu web actual está perdiendo clientes (y cómo solucionarlo),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-gimnasios-entrenadores,Web para gimnasios y entrenadores personales,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-inmobiliarias,Página web para inmobiliarias: destacar en un mercado saturado,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-para-autonomos,Web para autónomos: por qué la necesitas (y no es cara),Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-peluquerias-estetica,Web para peluquerías y centros de estética que llena la agenda,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/web-talleres-automovil,Web para talleres y servicios del automóvil,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/whatsapp-business-api-automatizacion,WhatsApp Business API: cómo automatizar tu atención al cliente sin perder humanidad,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
,https://serviciosonlineweb.com/blog/woocommerce-vs-tienda-a-medida,WooCommerce vs tienda a medida: la comparativa honesta,Conservar URL; sin reescritura en este paquete,,Revisión individual de intención pendiente,"Inventariada, contenido sin modificar"
A04,https://serviciosonlineweb.com/blog/wordpress-vs-web-a-medida,"WordPress o web a medida: decide por tareas, edición y mantenimiento",Conservar URL; sustituir cuerpo tras revisión,actualizaciones/04-wordpress-medida.md,Elegir arquitectura por tareas y edición,Borrador local
C01,https://serviciosonlineweb.com/blog/caso-latech-calculadora-presupuesto-whatsapp,Caso propio: de nueve pasos a un presupuesto revisable por WhatsApp,URL propuesta nueva; comprobar colisión al publicar,casos/01-calculadora-latech.md,Caso propio: de nueve pasos a un presupuesto revisable por WhatsApp,"Borrador local, ruta todavía no publicada"
C02,https://serviciosonlineweb.com/blog/caso-latech-lab-juegos-herramientas-propias,"Caso propio: organizar Latech Lab para jugar, aprender y volver",URL propuesta nueva; comprobar colisión al publicar,casos/02-lab-latech.md,"Caso propio: organizar Latech Lab para jugar, aprender y volver","Borrador local, ruta todavía no publicada"
N01,https://serviciosonlineweb.com/blog/convertir-dibujo-en-nivel-latech-lab,De un dibujo a un nivel: crea y comparte tu recorrido en Latech Lab,URL propuesta nueva; comprobar colisión al publicar,nuevos/01-tu-trazo-un-mundo.md,De un dibujo a un nivel: crea y comparte tu recorrido en Latech Lab,"Borrador local, ruta todavía no publicada"
N03,https://serviciosonlineweb.com/blog/preparar-briefing-web-en-el-navegador,Prepara tu briefing en el navegador y llévate un documento útil,URL propuesta nueva; comprobar colisión al publicar,nuevos/03-briefing-practico.md,Prepara tu briefing en el navegador y llévate un documento útil,"Borrador local, ruta todavía no publicada"
N04,https://serviciosonlineweb.com/blog/que-probar-antes-de-aprobar-tu-web,Qué probar antes de aprobar tu web: convierte requisitos en comprobaciones,URL propuesta nueva; comprobar colisión al publicar,nuevos/04-aceptar-entrega-web.md,Qué probar antes de aprobar tu web: convierte requisitos en comprobaciones,"Borrador local, ruta todavía no publicada"
N02,https://serviciosonlineweb.com/blog/tres-pruebas-reservas-carrito-buscador,"Tres pruebas pequeñas para descubrir problemas en reservas, cesta y búsqueda",URL propuesta nueva; comprobar colisión al publicar,nuevos/02-tres-misterios.md,"Tres pruebas pequeñas para descubrir problemas en reservas, cesta y búsqueda","Borrador local, ruta todavía no publicada"
